Title;Abstract;Text;Class;Emotional;Medicine;KeyWord
Предвестники родов;"Роды в срок никогда не начинаются внезапно для женщины, чего особенно боятся первородящие беременные. Начало регулярной родовой деятельности предваряют предвестники родов, которые готовят будущую маму к рождению малыша и напоминают ей о скорых родах. И хотя предвестники обязательно проявляются теми или иными признаками, часть женщин может их и не заметить.

Источник: http://www.webmedinfo.ru/predvestniki-rodov.html";"Роды в срок никогда не начинаются внезапно для женщины, чего особенно боятся первородящие беременные. Начало регулярной родовой деятельности предваряют предвестники родов, которые готовят будущую маму к рождению малыша и напоминают ей о скорых родах. И хотя предвестники обязательно проявляются теми или иными признаками, часть женщин может их и не заметить. Содержание статьи Как организм готовится к родам? Основные предвестники родов Предвестники родов у перво- и повторнородящих Когда нужно срочно обратиться к врачу? Видео по теме: «Предвестники родов» Как организм готовится к родам? Основные предвестники родов Старение плаценты Плацента, которая вырабатывает гормоны, занимает ведущее место в подготовке организма к родам. Уже с 36 недели меняется соотношение секретируемых гормонов: выработка прогестерона, который отвечает за расслабление гладкой мускулатуры матки и пролонгирование беременности снижается, а эстрогены начинают синтезироваться в большем количестве. Эстрогены запускают образование сократительных белков матки, за счет которых возрастает восприимчивость клеток миометрия к стимуляции. Кроме того, высокий уровень эстрогенов увеличивает количество простагландинов в матке, а те, в свою очередь, запускают выделение окситоцина в материнском и плодовом гипофизе и разрушают прогестерон. Родовая доминанта Нормальное течение родов зависит от формирования у беременной «родовой доминанты», которая приходит на смену «доминанте беременности» в головном мозге. Примерно за 2 недели отмечается увеличение электрической активности тех участков головного мозга, которые отвечают за родовый процесс. Кроме того, сформированная «родовая доминанта» или «полная готовность организма к родам» увеличивает синтез окситоцина – сокращающего гормона в гипофизе. Зрелость плода За счет быстрых темпов роста плода к концу беременности и снижения количества амниотической жидкости, матка охватывает будущего ребенка все плотнее. В ответ на данный стрессовый фактор надпочечники плода в большом количестве начинают синтезировать кортизол – гормон стресса. Который в свою очередь «подстегивает» выработку простагландинов в материнском организме. Начинается родовая деятельность в том случае, когда в материнском организме накопится достаточное количество и простагландинов, и окситоцина. А до этого момента «работают» эстрогены, которые подготавливают ткани родовых путей (шейка матки, влагалище и промежность), увеличивая их эластичность и податливость. Созревание шейки матки Шейка матки активно участвует в родовом процессе, от ее состояния зависит течение родов и их завершение. К концу гестационного периода шейка начинает «созревать», то есть претерпевать морфологические изменения за счет составляющих (коллаген, эластин, соединительная ткань). В результате происходящих изменений размягчается соединительная ткань, повышается ее гидрофильность, а мышечные пучки «разволокняются». Шейка становится податливой, легко растяжимой и мягкой по всей длине, включая внутренний зев. Влагалищная часть шейки укорачивается (меньше 1,5 – 2 см, в норме до 4-х см). Шеечный канал выпрямляется и плавно переходит во внутренний зев. Через влагалищные своды можно пропальпировать швы и роднички головки плода. После созревания («зрелая») шейка матки размещается вдоль продольной оси таза, наружный зев на прямой линии, соединяющей седалищные кости. «Зрелость» шейки определяют в баллах согласно шкале Бишопа (в России). По этой шкале оценивается каждый признак (длина, проходимость цервикально канала, расположение и консистенция) в баллах (0 – 1 – 2). Степени зрелости шейки матки: «незрелая» шейка – плотная или слегка размягчена, длинная, наружный зев закрыт либо пропускает кончик пальца, отклонена кзади; «недостаточно зрелая» — шейка укорочена, размягчена, цервикальный канал проходим для одного пальца, у первородящих до закрытого внутреннего зева, отклонена кпереди либо кзади; «зрелая» — шейка мягкая на всем протяжении, максимально укорочена или сглажена, располагается вдоль оси малого таза – центрирована, шеечный канал легко проходим для пальца, можно прощупать предлежащую часть, ориентиры (швы, роднички), плодный пузырь. Основные предвестники родов Предвестниками скорых родов называется совокупность внешних признаков, которые отражают происходящие изменения в организме и ощущаются беременной. То есть, предвестники родов свидетельствуют о подготовке к родам и их скором начале. Время появления и длительность предвестников родов индивидуальны у каждой женщины и даже различаются у одной и той же в разные беременности. За сколько до родов проявляются их предвестники? Предвестники родов могут проявиться за 2 часа – 2 недели до развития регулярной родовой деятельности Опущение дна матки Накануне родов опускается дно матки, или, как говорят беременные, «опустился живот». Если примерно до 37 недель высота стояния маточного дна увеличивалась в среднем еженедельно на 1 см и составляла 37 – 41 см, то перед началом родов, матка опускается на пару см (у повторнородящих это происходит за пару часов или с началом регулярных схваток). Обусловлен данный признак прижатием головки ко входу в малый таз, что объясняется принятием плода наиболее удобного положения к началу схваток. Меняется и форма живота, он делается покатым, вследствие чего уменьшается давление матки на диафрагму и внутренние органы и женщина отмечает исчезновение одышки, пропадает отрыжка и изжога, а также ощущение тяжести в желудке после еды (желудок располагается более свободно). Опустившаяся и прижатая головка ребенка в свою очередь оказывает давление на прямую кишку и мочевой пузырь, что проявляется учащением мочеиспускания и позывов на дефекацию. Кроме того, давление предлежащей части на мышцы, связки и нервные рецепторы может вызывать болезненность в нижних конечностях и внизу живота. Изменение мочеиспускания и стула Как указано выше, в связи с давлением головки плода на мочевик мочеиспускание становится частым (беременная отмечает, что ночью несколько раз встает в туалет). Кроме того, организм старается избавиться от «лишней» жидкости, что необходимо для сгущения крови накануне родов и снижения кровопотери, поэтому и увеличивается объем выделяемой мочи. Также изменяется и характер стула, он учащается и становится более жидким, что обусловлено увеличением содержания эстрогенов и потерей жидкости материнским организмом. В некоторых случаях может отмечаться диарея и незначительные спазмы в животе, а частота дефекации достигает 2 – 3 раз в день. Двигательная активность плода К концу беременности плод достиг своей зрелости, то есть набрал нужный вес (около 3 кг), а его органы готовы к внеутробному существованию. Матка уже достигла своих максимальных размеров и прекращает расти, будущему ребенку в ее полости становится тесно. Вследствие этого будущая мама начинает замечать, что шевелиться малыш стал реже, и если «серьезные» движения плода исчезли еще на 34 – 36 неделе (повороты, перевороты), то «мелкие» движения (тычки ручками или пятками стали реже и весьма ощутимы, и даже болезненны. Частая смена настроения Накануне родов окружающие беременную люди, да и сама будущая мама, отмечают нестабильность настроения. Женщина легко возбуждается и так же легко становится заторможенной, апатичной, задумчивой. Эмоциональная лабильность объясняется происходящими изменениями в нервной системе. Выпячивание пупка Перед родами, примерно с 37 – 38 недели, многие беременные начинают замечать, что их пупок странно выпячивается. Это объясняется множеством причин. Во-первых, происходит некоторое размягчение соединительной ткани, что необходимо в первую очередь для растяжения связок малого таза и сухожилий мышц влагалища и промежности во время прохождения плода по родовым путям. Во-вторых, растягиваются мышцы передней брюшной стенки и кожа живота. И, в-третьих, значительно повышается внутриматочное давление. Конечно, о выпячивании пупка как о предвестнике родов не стоит говорить в случае значительного многоводия или многоплодной беременности, так как все перечисленные факторы объясняются чрезмерными размерами матки. Снижение веса Перед родами практически все беременные отмечают уменьшение либо стабилизацию веса, на 0,5 – 2 кг. Данный признак связан с выведением лишней жидкости почками и снижением выраженности отеков. Прогестерон за счет расслабления тонуса сосудов задерживает жидкость в тканях, что и обуславливает общую отечность тела беременной. Будущая мама может отметить облегчение надевания перчаток и колец, обувь становится не такой тесной и ей становится легче обуться. Отхождение слизистой пробки Шейка матки к концу беременности проходит процесс созревания: она размягчается, укорачивается, а цервикальный канал приоткрывается и становится проходим для кончика пальца у первородящих, а у повторнородящих еще шире. В шеечном канале имеется слизистая пробка – густая слизь, которая блокировала проникновение в матку патологических микроорганизмов и защищала плод от внутриутробного инфицирования. К началу родов, примерно за 3 – 10 дней, эта слизь разжижается, чему способствуют эстрогены, и выталкивается из канала шейки. Выглядит слизистая пробка как небольшой бесцветный комочек или желтоватого цвета с прожилками крови. Объем его не превышает 3 мл. Возможно отхождение слизистой пробки частями, на протяжении нескольких дней. Отхождение слизистой пробки порой определить самостоятельно порой затруднительно, даже повторнородящим женщинам. Возникают сомнения – это отходит пробка или воды (возможно подтекание вод при высоком вскрытии плодного пузыря). В случае подтекания вод будут водянистые выделения, прозрачные и со слегка опалесцирующим оттенком (желтоватые или зеленоватые), усиливает подтекание повышение внутрибрюшного давления (кашель, акт дефекации, чиханье), в отличие от отхождения пробки, что происходит порционно, в течение нескольких дней, воды подтекают постоянно. При любом сомнении – отходят воды или пробка – следует немедленно ехать в роддом. Синдром гнездования Многие женщины замечают за собой перед скорыми родами необычайную хозяйственность. Проявляется это в виде тщательной уборки, даже тех мест, куда раньше и не заглядывала, повторного мытья посуды (чистка донышек кастрюль) и стирки, закупки необходимых и не очень предметов одежды для малыша, средств бытовой химии, посуду и прочего. Признаки синдрома гнездования также объясняются влиянием эстрогенов, кроме того, в силу вступают эндорфины и энкефалины, так называемые гормоны радости или «солнечные гормоны». Например, выработка «радостных» гормонов увеличивается после поедания шоколада, сочных помидоров и бананов, после занятий спортом, просмотра приятных картинок и фотографий. В конце беременности выработку данных гормонов стимулирует осознание будущей мамой скорой встречи с ребенком. Пониженный аппетит Ослабление аппетита, а иногда и его отсутствие также один из предвестников родов, который наблюдается за сутки – трое до начала родовой деятельности. Данный признак не таит опасности, и беспокоиться не стоит. Если не хочется есть – то и не нужно. Ложные схватки Схватки, которые появляются накануне родов, называются ложными или тренировочными, так как они не приводят к развитию регулярной родовой деятельности. Появление ложных схваток – еще один из предвестников родов и роль их заключается в подготовке миометрия к родам и созревании шейки матки. Такие схватки не ведут к раскрытию маточного зева и ощущаются как отвердение живота в ответ на шевеление плода или физическое напряжение. Тренировочные схватки отличаются нерегулярностью, незначительной интенсивностью, безболезненностью и промежутками покоя между ними до 30 и более минут. Возникают ложные схватки около 4 – 6 раз в сутки, как правило, по утрам и вечерам и продолжаются не более двух часов подряд. По истечению некоторого времени схватки либо ослабевают, либо их сила не изменяется, но могут прекратиться в горизонтальном положении, после приема теплой ванны или массажа. Предвестники родов у перво- и повторнородящих Большинство женщин, особенно те, кто готовится стать мамой впервые, могут и не замечать перечисленные признаки скорых родов. Отсутствие предвестников родов у первородящих совершенно на означает, что организм не готовится к родам, ведь многие изменения можно установить только с помощью проведения специальных тестов (окситоциновый, маммарный) или во время влагалищного исследования. Более опытные женщины узнают о приближающихся родах не только по появлению предвестников, но и из-за их выраженности. Интенсивность предвестников родов у повторнородящих объясняется чуткой реакцией организма на происходящие гормональные изменения. И совершенно не обязательно, что появятся все перечисленные в статье симптомы, свидетельствующие о скором начале родов. Тем более одновременно. Возможно возникновение одного-двух признаков с различным интервалом во времени (от 2-х недель, за день – час до родов). И, кстати, отхождение слизистой пробки не всегда происходит до родов, случается, что она исторгается с началом регулярной родовой деятельности. Когда нужно срочно обратиться к врачу? Все женщины под конец беременности должны быть готовы к немедленной поездке в роддом (собрать «тревожный» чемоданчик, документы, сбрить волосы на промежности, удалить лак с ногтей), даже если предвестниками еще и «не пахнет». Экстренные ситуации для вызова скорой помощи: излитие вод, особенно на фоне полного благополучия, в отсутствие схваток; появление кровянистых выделений; подъем давления (140/90 и больше); возникновение резкой боли в животе; появление головной боли, мушек перед глазами, ухудшение зрения; отсутствие движений плода на протяжении 6 и более часов; развитие регулярной родовой деятельности (2 – 3 схватки за 10 минут).
Источник: http://www.webmedinfo.ru/predvestniki-rodov.html";Акушерство;0.5;1;
Пиелонефрит при беременности;"Как известно, женщины подвержены пиелонефриту в 5 раз чаще, чем мужская половина человечества, что обусловлено анатомическими особенностями мочевыделительной системы женского организма. У беременных же пиелонефрит является одним из самых частых экстрагенитальных заболеваний и диагностируется в 6 – 12 % случаев. Лечение данного заболевания во время беременности следует начинать немедленно, так как инфекция сказывается неблагоприятно не только на состоянии женщины, но и на здоровье и развитии плода.

Источник: http://www.webmedinfo.ru/pielonefrit-pri-beremennosti.html";"Пиелонефрит беременных: определение и классификация Пиелонефритом называется воспалительный процесс в почке, который захватывает как интерстициальную ткань органа, так и чашечно-лоханочную систему (место, где скапливается моча). Классификация По механизму развития: первичный пиелонефрит (заболевание возникло само по себе, ему не предшествовала какая-либо патология мочевыделительной системы); вторичный – воспалительный процесс в почках развился на фоне имеющегося нефроптоза (опущение почки), уролитиаза (мочекаменная болезнь) или других болезней почек и мочевыводящих путей. По течению: острый – воспалительный процесс в почках развился впервые во время вынашивания плода или гестационного периода, поэтому его называют пиелонефритом при беременности либо гестационным пиелонефритом; хронический – болезнь имела место до зачатия и проявилась во время беременности (обострение хронического процесса). По локализации: двухсторонний, когда в процесс вовлечены обе почки; односторонний (право- или левосторонний) – во время гестации матка по мере роста сдвигается вправо и «притесняет» правую почку, вследствие этого у будущих мам чаще диагностируется правосторонний пиелонефрит. По форме: серозный; гнойный (наиболее неблагоприятная форма болезни, особенно в период вынашивания плода); латентная (без клинических проявлений); гипертоническая (с повышением кровяного давления); азотемическая (с развитием почечной недостаточности) и прочие. Кроме того, гестационный пиелонефрит подразделяется на 3 вида: пиелонефрит во время беременности; пиелонефрит рожениц (то есть возникший в процессе родов); пиелонефрит послеродовый или родильниц (клиника послеродового гестационного пиелонефрита проявляется на 4 – 6 день и на второй неделе послеродового периода). Причины и механизм развития заболевания Гестационный пиелонефрит вызывают патогенные и условно-патогенные микроорганизмы: бактерии и вирусы, простейшие и грибы. Чаще всего возбудителями заболевания являются грамотрицитальные бактерии кишечной группы: протей, энтерококк, кишечная палочка, стафилококки, клебсиелла и прочие, а также стрептококки и стафилококки. Распространяются инфекционные агенты в основном гематогенным путем (с током крови) из имеющихся очагов хронической инфекции (миндалины, кариозные зубы, дыхательные пути, воспаленный желчный пузырь и прочее). Но возможен и восходящий путь инфицирования из мочеиспускательного канала, мочевого пузыря или хронических очагов половых органов (цервицит, кольпит, эндометрит и т.д.). Механизм развития Отчего пиелонефрит так часто возникает во время беременности? Основным предрасполагающим фактором является механический. Растущая матка сдавливает соседние органы, особенно мочеточники, что нарушает отток мочи из чашечно-лоханочной системы почек, она задерживается там и служит благоприятной питательной средой для роста и размножения инфекционных агентов. В связи с этим пиелонефрит чаще развивается во втором и третьем триместрах беременности. Второй момент, который предрасполагает развитию заболевания, являются гормональные и гуморальные изменения в организме, связанные с беременностью. Вследствие этих факторов верхние мочевые пути претерпевают анатомические изменения (гипотония, гипокинезия, дискинезия чашечно-лоханочной системы). В частности под влиянием гормона беременности – прогестерона, который призван расслаблять не только мускулатуру матки, но и все остальные гладкие мышцы внутренних органов, мочеточники расширяются, удлиняются и искривляются с перегибами, петлеобразованием. Кроме того, ослабляется связочный аппарат почек, что увеличивает нефроптоз. В-третьих, возросший уровень эстрогенов у беременных дает толчок к росту патогенной флоры, в первую очередь кишечной палочки. Также не стоит забывать и о несколько сниженном иммунитете в гестационный период – что предупреждает отторжение плода материнским организмом как чужеродного объекта. Гораздо чаще пиелонефритом болеют первобеременные женщины. В 93% случаев в воспалительный процесс вовлекается правая почка из-за декстраротации беременной матки и анатомических особенностей правой яичниковой вены. Факторы риска Спровоцировать возникновение заболевания у беременных могут определенные факторы: предшествующая инфекция мочевыводящих путей (цистит, уретрит, бессимптомная бактериурия либо бессимптомная бактериоспермия партнера); аномалии развития мочевыделительной системы; мочекаменная болезнь (почечные конкременты усугубляют застой мочи в лоханках почки, что приводит к активизации условно-патогенной флоры и развитию воспалительного процесса); воспаления женских половых органов (чаще всего это кольпит и вульвовагинит); бактериальный вагиноз; низкий уровень жизни (плохое питание и условия проживания, тяжелое и вредное производство); сахарный диабет; хроническая экстрагенитальная патология (болезни щитовидной железы, сердечно-сосудистые заболевания, эндокринные расстройства). В послеродовом периоде В первые дни после родов риск возникновения заболевания значительно возрастает, чему способствуют появление новых факторов: сокращение (инволюция) матки происходит медленно, что в первые 5 – 6 суток послеродового периода создает компрессию (сдавление) мочеточников; сохранение в материнском организме прогестерона (до трех месяцев), что поддерживает дилатацию (расширение) мочеточников и уретры; осложнения послеродового периода (поздние кровотечения вследствие гипотонии матки или остатков последа); воспаление половых органов; урологические расстройства, обусловленные острой задержкой мочи или длительной катетеризацией мочевого пузыря (в первые 2 часа после родов). Степени риска Возникновение либо обострение хронического пиелонефрита существенно осложняет течение гестационного периода беременности и чревато развитием опасных как для матери, так и для ребенка осложнений. В связи с этим рассчитывается риск пиелонефрита для течения настоящей беременности, в котором учитываются: форма болезни, степень нарушения функций почек и состояния организма будущей мамы в целом. В первую очередь пиелонефрит беременных существенно увеличивает риск развития почечной недостаточности и артериальной гипертензии. Заболевание с данными осложнениями утяжеляют течение гестозов вплоть до преэклампсии и эклампсии. Выделяют 3 степени риска воспаления почек у беременных: 1 степень (низкий риск) Данная степень риска присваивается беременным с неосложненным пиелонефритом, который впервые появился в гестационный период. При оказании своевременного и адекватного лечения серьезная угроза здоровью матери и плода минимальна. Течение беременности и родоразрешение без осложнений. 2 степень (умеренный риск) В анамнезе женщины имеется хронический пиелонефрит, который до 30% случаев становится причиной осложненного течения беременности. Если осложнения не развиваются, то течение беременности и роды завершаются благоприятно, в противном случае возможны преждевременные роды или выкидыши. 3 степень (высокий риск) Высокий риск пиелонефрита присваивается женщинам, у которых течение болезни осложнилось почечной недостаточностью и артериальной гипертензией, либо возникло воспаление единственной почки. Дальнейшее пролонгирование беременности противопоказано. Клиническая картина Гестационный пиелонефрит начинается остро, с признаков интоксикации и урологических симптомов. Выраженность интоксикационного синдрома зависит от формы и длительности заболевания. Кроме того, немаловажное значение имеют вид возбудителя, массивность инфицирования, путь проникновения инфекции, иммунитет женщины, срок гестации. К ведущим симптомам интоксикации относятся: повышение температуры до 38 – 40 градусов, ознобы и потливость, головная боль, вялость, тошнота и рвота. Кроме того, появляются тянущие или ноющие боли в области поясницы. Если поражена одна почка, боль появляется с ее стороны, если обе, то боль беспокоит с обеих сторон. Возможно появление частого и болезненного мочеиспускания, пациентка может отметить мутную мочу с примесью гноя или хлопьев. Диагностика пиелонефрита при беременности Дифференцировать пиелонефрит необходимо с угрозой прерывания беременности. Для уточнения диагноза назначаются следующие лабораторные исследования: общий анализ крови (лейкоцитоз, анэозинофилия, анемия, лимфопения, ускоренная СОЭ); биохимический анализ крови (повышение креатинина, азота, возможно повышение билирубина, АСТ и АЛТ); общий анализ мочи (увеличение лейкоцитов, эритроцитов и цилиндров); моча по Нечипоренко; моча по Зимницкому (изогипостенурия и никтурия); бактериологический посев мочи для идентификации возбудителя и определения его чувствительности к антибиотикам. Из инструментальных методов ведущую роль играет УЗИ почек, что позволяет не только диагностировать расширение чашечно-лоханочной системы, но и определить карбункул или абсцесс почки, воспаление околопочечной клетчатки. Также применяется хромоцистоскопия и катетеризация мочеточников для восстановления оттока мочи. В послеродовом периоде и в экстремальных ситуациях, когда имеется угроза жизни женщины, назначаются экскреторная урография и динамическая сцинтиграфия. Пиелонефрит беременных: осложнения, влияние на плод Заболевание не только таит угрозу в отношении здоровья будущей мамы и течения беременности, но негативно сказывается на росте и развитии плода. Сроки беременности, в которые возрастает вероятность развития болезни, называют критическими сроками: 24 – 26 недель (возникновение угрозы прерывания, обусловленной не только повышенной возбудимостью матки, но и лихорадочным состоянием женщины, болевым синдромом и действием экзотоксинов бактерий кишечной группы); 32 – 34 недели – размеры матки максимальны, что существенно влияет на топографию почек и вызывает сдавление мочеточников; 39 – 40 недель – накануне родов предлежащая часть плода опускается в малый таз и прижимается к его входу, вызывая компрессию мочевого пузыря, застой мочи в мочевыводящих путях и почечных лоханках; 4 – 12 сутки после родов. Осложнения течения беременности Заболевание (особенно при обострении хронического процесса) повышает риск возникновения следующих акушерских осложнений: поздний гестоз (до 89% и выше у женщин с хроническим пиелонефритом); угроза прерывания и выкидыш в первом триместре; преждевременные роды; вторичная плацентарная недостаточность; анемия; аномалии родовых сил; кровотечение во время и после родов; септицемия (инфицирование крови) и септикопиемия (заражение крови и образование гнойных очагов в организме); инфекционно-токсический шок; гнойно-септические заболевания после родов; острая почечная недостаточность. Осложнения для плода В свою очередь, то или иное акушерское осложнение неблагоприятно сказывается на внутриутробном развитии ребенка и приводит к следующим последствиям: гипоксия и задержка роста плода (результат гестоза, анемии и плацентарной недостаточности); антенатальная гибель плода, в процессе родов или в первые 7 дней жизни (перинатальная смертность достигает 30%); внутриутробное инфицирование (в ранние сроки приводит к порокам развития плода); длительная желтуха; развитие гнойно-септических заболевании после рождения; сниженный иммунитет. Лечение и родоразрешение Лечением гестационного пиелонефрита занимается врач акушер-гинеколог совместно с урологом (нефрологом). Все будущие мамы с острым процессом или обострением хронического подлежат обязательной госпитализации. Немедикаментозная терапия Первым этапом в лечении является восстановление пассажа мочи с помощью следующих мер: Постельный режим Горизонтальное положение и тепло улучшают кровоток в почках и препятствуют застою мочи в почечных лоханках и мочеточниках. Постельный режим назначается на период в 5 – 7 дней (до исчезновения симптомов интоксикации и снижения температуры). При одностороннем процессе женщину укладывают на здоровый бок с согнутыми коленями и несколько поднимают ножной конец кровати. В таком положении матка отклоняется от воспаленной почки и уменьшается давление на мочеточник. В случае двухстороннего пиелонефрита будущей маме рекомендуется принимать (от 3 до 5 раз в день) коленно-локтевое положение, при котором также матка отклоняется и перестает давить на почки и мочеточники. Диета При воспалении почек показано обильное кислое питье, до 3 литров в сутки. Целебными свойствами обладают клюквенный и брусничный морсы, отвар (настой) из листьев толокнянки, брусники, хвоща полевого, овса, шиповника, ромашки аптечной. Следует исключить чай, кофе, сладкие газированные напитки, шоколад, жирные, жареные и острые блюда, копчености и соленья, фаст-фуд. Пища должна быть запеченной, тушенной или отварной. Медикаментозное лечение Антибиотикотерапия Основой терапии заболевания является назначение антибактериальных препаратов. В первые 12 недель назначается ампициллин, оксациллин или пенициллин. Во втором триместре допускается введение антибиотиков цефалоспоринового ряда (кефзол, клафоран) и макролидов (джозамицин, ровамицин) продолжительность до 7 – 10 дней. Нитрофураны Начиная со второго триместра к антибиотиками добавляются уроантисептики или нитрофураны (5-НОК, нитроксолин, фурадонин, невиграмон). Спазмолитики и десенсибилизирующие препараты Из десенсибилизирующих средств назначаются супрастин, кларитин, в качестве спазмолитиков – но-шпа, папаверин, баралгин. Кроме того, показан прием седативных препаратов (экстракт валерианы или пустырника). Мочегонные препараты Для усиления действия антибиотиков назначаются диуретики в малой дозировке (дихлотиазид, фуросемид). Инфузионная терапия С целью дезинтоксикации внутривенно капаются реополиглюкин, гемодез, солевые растворы. Витамины и препараты железа Оперативное лечение В случае безуспешности консервативного лечения выполняется хирургическое вмешательство: катетеризация мочеточников; нефростомия, декапсуляция или резекция почки, а в тяжелых случаях и удаление почки при возникновении гнойно-деструктивного воспаления (апостематозный нефрит, карбункул или абсцесс почки). Показания к оперативному вмешательству: эффект отсутствует после проведения антибиотикотерапии (1 – 2 суток), плюс нарастают признаки интоксикации и воспаления (увеличение лейкоцитоза, СОЭ, креатинина); обструкция (закупорка) мочевыводящих путей камнями. Родоразрешение Родоразрешение при гестационном пиелонефрите рекомендуется через естественные родовые пути. В план ведения родов входит назначение спазмолитиков, обезболивающих препаратов и профилактика гипоксии плода. Кесарево сечение проводится только по строгим акушерским показаниям.

Источник: http://www.webmedinfo.ru/pielonefrit-pri-beremennosti.html";Акушерство;0;1;
